# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
8,18
16,34
24,50
32,66
40,82
48,98
56,114
64,130
72,146
80,162
88,176
88,176
96,196
104.7590596121736,220
113,250
113,250
121.7590596121736,288
130,322
138.7590596121736,356
147,392
155.7590596121736,432
164.0487223016098,482
164.0487223016098,482
172.7590596121736,536
181.0487223016098,592
189.8004003145959,662
198.4256402891535,746
207.0487223016098,836
215.8004003145959,936
224.4256402891535,1050
233.0487223016098,1172
241.8004003145959,1314
250.4256402891535,1452
259.04872230161,1610
267.8004003145966,1776
276.4256402891547,1954
285.0487223016115,2134
293.8004003145981,2330
302.4256402891561,2532
311.1608605087361,2744
319.9120932095002,2974
328.4256402891576,3204
328.4256402891576,3204
337.1608605087375,3452
345.9120932095017,3720
354.6106403109959,4002
363.3088904037557,4288
372.0530594760082,4588
380.8121352694429,4888
389.455047660382,5206
398.160860508741,5522
406.9120932095051,5846
415.661669966652,6182
424.4256402891626,6536
433.1608605087421,6890
441.9120932095059,7252
441.9120932095059,7252
450.6616699666522,7638
459.4256402891626,8032
468.1608605087416,8438
476.9120932095047,8856
485.6616699666505,9288
494.4256402891606,9724
503.1608605087396,10166
503.1608605087396,10166
511.9120932095027,10606
520.6616699666491,11084
529.4256402891598,11546
538.1608605087391,12026
546.9375000743107,12500
555.6616699666491,13004
564.4256402891607,13512
573.1608605087416,14044
581.9375000743153,14556
590.6744111411321,15108
590.6744111411321,15108
599.4550476603871,15672
608.2302748347611,16244
617.0000000000148,16816
625.7590596121895,17398
625.7590596121895,17398
634.5442374230652,17976
643.3088904037694,18588
652.0806009655354,19208
660.8687856226911,19822
669.6257925379052,20460
678.4026988878622,21092
687.1608605087629,21756
695.9375000743364,22414
695.9375000743364,22414
704.6747123379618,23082
713.4550476604103,23754
722.1608605087707,24450
730.9375000743444,25138
739.6895942613194,25854
748.4550476604182,26562
757.2205531442114,27302
757.2205531442114,27302
766.0000000000477,28030
774.7590596122234,28762
783.544237423099,29490
792.3088904038033,30218
792.3088904038033,30218
801.0806009655693,30984
809.868785622725,31746
818.6257925379399,32490
827.4026988878978,33248
836.1608605087994,34030
844.937500074374,34812
853.68959426135,35610
862.4550476604489,36384
871.2429943169909,37188
880.0000000000764,37996
888.759059612251,38814
897.5442374231257,39652
906.3296505255018,40474
915.0806009655939,41338
923.8687856227486,42194
932.6257925379618,43050
941.4019705799561,43904
950.1608605088174,44806
958.9402576107044,45696
967.689594261364,46590
976.4550476604618,47490
985.2429943170027,48404
994.030846661434,49336
1002.800400314685,50284
1011.544237423137,51216
1020.329650525514,52146
1029.080600965604,53098
1037.868785622756,54054
1046.645274174121,55016
