# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
2,6
2,6
4,10
4,10
6,14
6,14
8,18
8,18
10,22
10,22
12,26
12,26
14,30
14,30
16,34
16,34
18,38
18,38
20,42
20,42
22,44
22,44
24,50
24,50
26,54
26,54
28,58
28,58
30,62
30,62
32,66
32,66
34,70
34,70
36,74
36,74
38,78
38,78
40,84
40,84
42,88
42,88
44,92
44,92
46,96
48,100
50.2085522338748,104
50.2085522338748,104
53,114
55,118
55,118
57,122
57,122
59,126
59,126
61,130
61,130
63,134
63,134
65,138
67,142
67,142
69,146
69,146
71,148
71,148
73,154
73,154
75,158
75,158
77,162
79,166
79,166
81,170
81,170
83,174
83,174
85,178
85,178
87,182
87,182
89,186
89,186
91,190
91,190
93,192
93,192
95,198
95,198
97,202
97,202
99,206
99,206
101,210
101,210
103,214
103,214
105,218
105,218
107,222
107,222
109,226
109,226
111,230
111,230
113,234
113,234
115,236
115,236
117,242
117,242
119,246
119,246
121,250
121,250
123,254
123,254
125,258
125,258
127,262
127,262
129,266
129,266
131,270
131,270
133,274
133,274
135,278
135,278
137,280
137,280
139,286
139,286
141,290
141,290
143,294
143,294
145,298
147,302
147,302
149,306
149,306
151,310
151,310
153,314
153,314
155,318
155,318
157,322
157,322
159,324
159,324
161,330
161,330
163,334
163,334
165,338
165,338
167,342
167,342
169,346
169,346
171,350
171,350
173,354
173,354
175,358
175,358
177,362
177,362
179,366
179,366
181,368
181,368
183,374
183,374
185,378
185,378
187,382
187,382
189,386
189,386
191,390
193,394
193,394
195,398
197,402
199,406
199,406
201,410
203,412
203,412
205,418
205,418
207,422
207,422
209,426
211,430
211,430
213,436
213,436
215,440
215,440
217,444
217,444
219,448
219,448
221,454
221,454
223,458
223,458
225,462
225,462
227,466
229,470
229,470
231,472
231,472
233,478
233,478
235,482
235,482
237,486
237,486
239,490
239,490
241,494
241,494
243.2529007516492,502
246,512
246,512
248.2529007516492,522
251,532
251,532
253.2529007516492,538
253.2529007516492,538
256,552
256,552
258.2529007516492,562
261,572
261,572
263.2529007516492,582
266,592
266,592
268.2529007516492,602
271,612
271,612
273.2529007516492,622
276,630
276,630
278,640
278,640
280,644
280,644
282,648
282,648
284,652
284,652
286,654
286,654
288,660
288,660
290,664
290,664
292,668
292,668
294,672
296,676
296,676
298,680
298,680
300,684
300,684
302,688
302,688
304,692
304,692
306,696
306,696
308,698
308,698
310,704
312,708
312,708
314,712
314,712
316,716
316,716
318,720
318,720
320,724
320,724
322,728
322,728
324,732
324,732
326,736
326,736
328,740
328,740
330,742
330,742
332,748
332,748
334,752
334,752
336,756
336,756
338,760
338,760
340,764
340,764
