# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
2,6
4,10
4,10
6,14
6,14
8,18
10,22
10,22
12,26
12,26
14,32
16,36
18,40
20,44
22,48
24,52
24,52
26,56
26,56
28,60
30.83337071491405,64
30.83337071491405,64
33,76
33,76
35.83337071491405,86
38,96
40.83337071491405,106
43,116
45.83337071491405,124
48,136
50.83337071491405,146
53,154
53,154
55.83337071491405,166
58,176
60.83337071491405,186
63,196
63,196
65.83337071491405,206
68,216
68,216
70.83337071491405,228
73,238
73,238
75.83337071491405,248
78,258
80.83337071491405,268
83.70402727229521,278
83.70402727229521,278
86,294
86,294
88.83337071491405,312
91.70402727229521,328
94,344
94,344
96.83337071491405,358
96.83337071491405,358
99.70402727229521,378
102,394
102,394
104.8333707149141,410
107.7040272722952,424
107.7040272722952,424
110.2329443704613,450
113,472
115.8333707149141,494
118.7040272722952,512
118.7040272722952,512
121.2329443704613,538
124,560
124,560
126.8333707149141,582
129.7040272722952,600
129.7040272722952,600
132.2329443704613,626
135,648
137.8333707149141,670
140.7040272722952,688
140.7040272722952,688
143.2329443704613,714
146,736
146,736
148.8333707149141,758
151.7040272722952,776
151.7040272722952,776
154.2329443704613,802
157,826
157,826
159.8333707149141,850
162.7040272722952,870
165.2329443704613,894
168,916
168,916
170.8333707149141,938
173.7040272722952,962
176.2329443704613,992
176.2329443704613,992
179,1022
181.8333707149141,1050
184.7040272722952,1076
187.2329443704613,1102
187.2329443704613,1102
190,1134
192.8913377748608,1168
195.8131481553428,1200
198.7040272722952,1232
201.2329443704613,1268
204,1302
204,1302
206.8913377748608,1336
209.8131481553428,1366
212.7040272722952,1406
215.2329443704613,1446
218,1490
220.8913377748608,1530
223.8172127043034,1570
226.7040272722952,1606
229.2329443704614,1656
232.0365098601849,1700
234.891337774861,1744
234.891337774861,1744
237.8172127043037,1784
240.7040272722956,1836
243.2329443704618,1886
243.2329443704618,1886
246.1465261065115,1940
249.0365098601854,1992
251.8913377748614,2044
254.8172127043042,2092
257.704027272296,2148
260.2329443704621,2208
263.1465261065118,2266
266.0365098601856,2320
268.8913377748616,2378
271.8172127043042,2438
274.7040272722958,2494
277.1465261065117,2554
280.0365098601852,2608
282.8913377748611,2664
285.8172127043035,2722
288.7040272722953,2778
291.146526106511,2846
294.0365098601846,2906
296.8913377748605,2976
299.8172127043029,3036
302.7040272722945,3098
305.1465261065102,3156
308.0365098601839,3230
310.8913377748598,3294
313.8172127043023,3364
316.7040272722939,3426
319.1465261065096,3498
322.0365098601832,3572
324.891337774859,3646
327.8172127043015,3716
330.7265778598373,3800
333.6533920823387,3884
336.1465261065086,3964
