# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
1047.812304140482,58150
1056.583131489428,59230
1065.370270119938,60318
1065.370270119938,60318
1074.148611521769,61406
1082.936411748875,62516
1091.714914702812,63648
1100.492856300442,64800
1109.267176534819,65950
1118.03249510284,67096
1126.812304140503,68268
1135.583131489445,69438
1144.370270119953,70636
1153.148611521781,71840
1161.936411748886,73026
1170.714914702823,74252
1179.492856300453,75490
1188.267176534831,76718
1197.032495102851,77946
1205.812304140514,79226
1214.583131489458,80502
1223.370270119965,81806
1232.154192866017,83092
1240.936411748901,84360
1249.714914702838,85696
1258.492856300468,87030
1267.267176534845,88340
1276.032495102866,89670
1276.032495102866,89670
1284.812304140529,91008
1293.583131489478,92388
1302.370270119991,93778
1311.154938169659,95128
1319.936411748935,96488
1328.714914702877,97880
1337.492856300511,99300
1346.267176534892,100712
1355.032495102916,102130
1363.812304140584,103558
1372.583131489535,104992
1381.37027012005,106488
1390.15493816972,107940
1398.936411748998,109402
1407.714914702942,110898
1416.492856300578,112376
1416.492856300578,112376
1425.267176534959,113900
1434.032495102983,115374
1442.81230414065,116890
1451.583131489599,118404
1460.370270120112,119944
1469.154938169778,121494
1477.936411749052,123008
1486.714914702992,124578
1495.492856300624,126134
1504.267176535003,127696
1513.032495103025,129278
1521.815481475578,130844
1530.583131489638,132446
1539.370988937382,134050
1548.154938169818,135664
1556.936411749092,137260
1565.714914703033,138896
1574.492856300667,140548
1583.267176535048,142180
1592.032495103073,143840
1600.815481475628,145492
1609.583131489688,147162
1618.370988937431,148856
1627.154938169866,150536
1635.93641174914,152204
1644.714914703081,153932
1653.492856300715,155640
1662.267176535096,157362
1671.032495103121,159080
1679.815481475676,160822
1688.594768473507,162570
1697.370988937479,164344
1706.154938169914,166126
1714.936411749187,167876
1723.714914703125,169698
1723.714914703125,169698
1732.492856300755,171510
1741.267176535132,173318
1750.032495103152,175142
1758.820531126199,176972
1767.59476847353,178812
1776.3709889375,180680
1785.154938169933,182542
1785.154938169933,182542
1793.943092137079,184400
1802.731920564188,186312
1811.492856300773,188212
1820.26717653515,190126
1829.032495103171,192050
1837.820531126218,193984
1846.594768473547,195924
1855.370988937515,197878
1864.154938169949,199852
1872.943092137097,201782
1881.731920564205,203786
1890.492856300791,205766
1899.267176535168,207742
1908.032495103189,209736
1916.820531126238,211728
1925.594768473569,213764
1934.370988937539,215814
1943.154938169972,217842
1951.94309213712,219864
1960.731920564229,221958
1969.492856300815,224058
1978.267176535194,226144
1987.032495103217,228226
1995.820531126266,230302
2004.594768473599,232388
2013.370270120339,234544
2022.154938170005,236654
2030.943092137153,238752
2039.731920564263,240924
2039.731920564263,240924
2048.492856300848,243082
2057.267176535219,245286
2057.267176535219,245286
2066.032495103234,247434
2074.820531126275,249628
2083.594768473599,251816
2092.370270120332,254024
2101.155012754773,256258
2109.943092137131,258416
2118.731920564232,260676
2127.492856300812,262884
2136.267176535183,265112
2145.032495103197,267374
2153.820531126234,269584
2162.594768473557,271848
2171.380087303873,274122
2180.168097879294,276382
2188.943092137078,278640
2197.731920564172,280922
2206.492856300743,283224
2215.267176535107,285542
2224.032495103113,287836
2232.820531126147,290186
2241.594768473463,292510
2241.594768473463,292510
2250.380087303773,294886
2259.16809787919,297258
2267.94309213697,299592
2276.731920564064,302028
2285.492856300636,304416
2285.492856300636,304416
2294.267176534999,306832
2303.032495103006,309244
2311.820531126039,311634
2320.594768473355,314106
2329.380087303665,316554
2329.380087303665,316554
2338.16809787908,319008
2346.943092136856,321436
2355.731920563946,323908
2364.516032376056,326414
2373.288465337951,328884
2382.062176852286,331350
2390.850752855652,333836
2399.632260340676,336340
2408.420393370056,338904
2417.204302183954,341412
2425.985183404516,343906
2425.985183404516,343906
2434.756449500203,346466
2443.523424704903,349008
2452.288465337809,351572
2461.062176852147,354120
2461.062176852147,354120
2469.850752855517,356702
2478.632260340545,359306
2487.420393369928,361928
2496.204302183826,364554
2504.985183404388,367138
2513.756449500076,369786
2522.523424704776,372410
2531.28846533768,375042
2540.062176852014,377672
2548.85075285538,380322
2557.6322603404,382974
2566.420393369774,385668
2575.204302183664,388342
2583.985183404218,390976
2592.756449499898,393654
2601.52342470459,396342
2610.288465337485,399046
2619.062176851812,401742
2627.850752855175,404468
2636.632260340195,407202
2645.420393369571,409974
2654.204302183465,412744
2662.98518340402,415480
2671.7564494997,418268
2680.543760905481,421064
2689.329214654614,423866
2698.11266552248,426664
2706.898693292197,429476
2715.678221795374,432312
2724.461698841384,435162
2733.241209133372,438002
2742.030054520647,440850
2750.815481474602,443726
2759.594768472398,446602
2768.382017515123,449508
2777.170686514879,452386
2785.957814068356,455262
2794.739173740491,458208
2803.523424704035,461142
2812.288585377442,464078
2821.062176851257,466988
2829.850752854616,469928
2829.850752854616,469928
2838.632260339632,472896
2847.420393369003,475866
2856.204302182894,478838
2864.985183403451,481774
2873.756449499135,484788
2882.54376090492,487798
2891.329214654056,490804
2900.112665521926,493800
2908.89869329165,496812
2917.678221794841,499876
2926.461698840862,502948
2935.241209132867,506000
2944.030054520158,509048
2952.815481474128,512138
2961.599677225345,515250
2970.386978893739,518392
2979.173689216543,521490
2987.957814067931,524582
2996.739173740071,527748
3005.523424703619,530920
3014.297564677871,534078
3023.081446102395,537210
3031.852095104679,540374
3040.632260339232,543550
3049.420393368608,546756
3058.204302182506,549962
3066.985183403065,553114
3075.756449498749,556362
3075.756449498749,556362
3084.543760904531,559586
3093.329214653661,562842
3102.11266552152,566070
3110.89869329123,569270
3119.678221794404,572534
3119.678221794404,572534
3128.461698840411,575778
3137.241209132399,579040
3146.030054519674,582306
3154.815481473629,585552
