# time,current_number_bots
0,0
0,0
15,0
15,0
16,1
16,1
35,1
35,1
36,2
36,2
73.67367659881711,2
73.67367659881711,2
75,3
75,3
76.67367659881711,3
76.67367659881711,3
78,4
78,4
87.81110846949741,4
87.81110846949741,4
89,5
89,5
127.9912787454668,5
127.9912787454668,5
129,6
129,6
156,6
156,6
157.0817596229613,5
157.0817596229613,5
172.8111084694974,5
172.8111084694974,5
174.0817596229613,6
174.0817596229613,6
220.0817596229613,6
220.0817596229613,6
221.0817596229613,7
221.0817596229613,7
232.7776944800639,7
232.7776944800639,7
234.0817596229613,8
234.0817596229613,8
283.7776944800639,8
283.7776944800639,8
285.0817596229613,9
285.0817596229613,9
291,9
291,9
292.0817596229613,10
292.0817596229613,10
309.7776944800639,10
309.7776944800639,10
311.0817596229613,11
311.0817596229613,11
313.5248563796124,11
313.5248563796124,11
314.8945331962314,12
314.8945331962314,12
316.5248563796124,12
316.5248563796124,12
317.8945331962314,13
317.8945331962314,13
326.989386364692,13
326.989386364692,13
328.0817596229613,14
328.0817596229613,14
331.0817596229613,14
331.0817596229613,14
332.5248563796124,15
332.5248563796124,15
335.7776944800639,15
335.7776944800639,15
337.0817596229613,16
337.0817596229613,16
344,16
345.0817596229613,15
345.0817596229613,15
350,15
351.0817596229613,14
351.0817596229613,14
352.5248563796124,15
352.5248563796124,15
368.8945331962314,15
368.8945331962314,15
370.2408932850662,16
370.2408932850662,16
371.6748510902175,17
371.6748510902175,17
378.0817596229613,17
378.0817596229613,17
379.5248563796124,19
379.5248563796124,19
407.8111084694974,19
407.8111084694974,19
409.2408932850662,20
409.2408932850662,20
420.7776944800632,20
420.7776944800632,20
422.2408932850655,21
422.2408932850655,21
429.3595642444555,21
429.3595642444555,21
430.8111084694962,22
430.8111084694962,22
432.89453319623,22
432.89453319623,22
434.2408932850648,23
434.2408932850648,23
440.9999999999982,23
441,23
442.3595642444548,22
442.3595642444548,22
443.8111084694955,23
443.8111084694955,23
445.999999999998,23
445.999999999998,23
447.3595642444545,24
447.3595642444545,24
450.8111084694951,24
450.8111084694951,24
452.2408932850638,25
452.2408932850638,25
460.8945331962285,25
460.8945331962285,25
462.2408932850632,26
462.2408932850632,26
463.6748510902144,27
463.6748510902144,27
465.1280723927799,30
465.1280723927799,30
467.7758110117797,30
467.7758110117797,30
469.1280723927799,32
469.1280723927799,32
475.7226719151308,32
475.7226719151308,32
477.1280723927799,33
477.1280723927799,33
478.9893863646889,33
478.9893863646889,33
480.3595642444536,35
480.3595642444536,35
481.8111084694943,36
481.8111084694943,36
487.8519415532227,36
487.8519415532227,36
489.2408932850632,38
489.2408932850632,38
498.9912787454638,38
498.9912787454638,38
