# in_botnet[3] #1
0.0 0.0
29.0 0.0
29.0 0.0
29.0 1.0
100.9107226943597 1.0
# in_botnet[3] #2
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1209510740805 1.0
# in_botnet[3] #3
0.0 0.0
34.51733273298706 0.0
34.51733273298706 0.0
34.51733273298706 1.0
100.2309671083931 1.0
# in_botnet[3] #4
0.0 0.0
30.03418539697304 0.0
30.03418539697304 0.0
30.03418539697304 1.0
100.7358091613278 1.0
# in_botnet[3] #5
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.6241616150363 1.0
# in_botnet[3] #6
0.0 0.0
27.30698573356494 0.0
27.30698573356494 0.0
27.30698573356494 1.0
100.2996934754562 1.0
# in_botnet[3] #7
0.0 0.0
33.40660911984742 0.0
33.40660911984742 0.0
33.40660911984742 1.0
100.0000000000002 1.0
# in_botnet[3] #8
0.0 0.0
27.12227406204566 0.0
27.12227406204566 0.0
27.12227406204566 1.0
100.0341620505787 1.0
# in_botnet[3] #9
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.7908417892177 1.0
# in_botnet[3] #10
0.0 0.0
30.62107223761268 0.0
30.62107223761268 0.0
30.62107223761268 1.0
100.1076724773546 1.0
# in_botnet[3] #11
0.0 0.0
29.0 0.0
29.0 0.0
29.0 1.0
100.4534404573496 1.0
# in_botnet[3] #12
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0000000000002 1.0
# in_botnet[3] #13
0.0 0.0
36.79543956347017 0.0
36.79543956347017 0.0
36.79543956347017 1.0
100.4984040246609 1.0
# in_botnet[3] #14
0.0 0.0
32.0 0.0
32.0 0.0
32.0 1.0
100.4309565429645 1.0
# in_botnet[3] #15
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.5638096313924 1.0
# in_botnet[3] #16
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4858491660561 1.0
# in_botnet[3] #17
0.0 0.0
39.51864346546018 0.0
39.51864346546018 0.0
39.51864346546018 1.0
100.1863930353427 1.0
# in_botnet[3] #18
0.0 0.0
35.0 0.0
35.0 0.0
35.0 1.0
100.8620004467666 1.0
# in_botnet[3] #19
0.0 0.0
33.0 0.0
33.0 0.0
33.0 1.0
100.4290781945456 1.0
# in_botnet[3] #20
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.4462196463719 1.0
# in_botnet[3] #21
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.1544831155334 1.0
# in_botnet[3] #22
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.5114942707439 1.0
# in_botnet[3] #23
0.0 0.0
27.88946935697459 0.0
27.88946935697459 0.0
27.88946935697459 1.0
100.3055260114907 1.0
# in_botnet[3] #24
0.0 0.0
37.57039138185792 0.0
37.57039138185792 0.0
37.58928532741189 1.0
37.58928532741189 1.0
100.229473968735 1.0
# in_botnet[3] #25
0.0 0.0
43.93538061389084 0.0
43.93538061389084 0.0
43.93538061389084 1.0
100.4481468747836 1.0
# in_botnet[3] #26
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.2430605099794 1.0
# in_botnet[3] #27
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0000000000001 1.0
# in_botnet[3] #28
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.0000000000002 1.0
# in_botnet[3] #29
0.0 0.0
20.93545028334484 0.0
20.93545028334484 0.0
20.93545028334484 1.0
100.4789142646689 1.0
# in_botnet[3] #30
0.0 0.0
31.49795683310367 0.0
31.49795683310367 0.0
31.49795683310367 1.0
100.1495217720512 1.0
# in_botnet[3] #31
0.0 0.0
20.62928416649811 0.0
20.62928416649811 0.0
20.62928416649811 1.0
100.4046777551994 1.0
# in_botnet[3] #32
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.2752253660001 1.0
# in_botnet[3] #33
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1191045490384 1.0
# in_botnet[3] #34
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.5785738633983 1.0
# in_botnet[3] #35
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1528010449961 1.0
# in_botnet[3] #36
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.0171384545974 1.0
# in_botnet[3] #37
0.0 0.0
26.72846721298993 0.0
26.72846721298993 0.0
26.72846721298993 1.0
100.1954112601493 1.0
# in_botnet[3] #38
0.0 0.0
29.18491473281756 0.0
29.18491473281756 0.0
29.18491473281756 1.0
100.1849147328176 1.0
# in_botnet[3] #39
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.3417009846307 1.0
# in_botnet[3] #40
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4609069072176 1.0
# in_botnet[3] #41
0.0 0.0
27.57125904783607 0.0
27.57125904783607 0.0
27.57125904783607 1.0
100.2002194696103 1.0
# in_botnet[3] #42
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0053301430242 1.0
# in_botnet[3] #43
0.0 0.0
27.39237118558958 0.0
27.39237118558958 0.0
27.39237118558958 1.0
100.1696325726807 1.0
# in_botnet[3] #44
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4321753897239 1.0
# in_botnet[3] #45
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.2167080568614 1.0
# in_botnet[3] #46
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.1844088078942 1.0
# in_botnet[3] #47
0.0 0.0
20.02767389314249 0.0
20.02767389314249 0.0
20.02767389314249 1.0
100.9512534567621 1.0
# in_botnet[3] #48
0.0 0.0
20.57545640063472 0.0
20.57545640063472 0.0
20.57545640063472 1.0
100.2735147506871 1.0
# in_botnet[3] #49
0.0 0.0
35.0 0.0
35.0 0.0
35.0 1.0
100.0000000000002 1.0
# in_botnet[3] #50
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1717155883089 1.0
# in_botnet[3] #51
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.2297701998511 1.0
# in_botnet[3] #52
0.0 0.0
34.99353665718809 0.0
34.99353665718809 0.0
34.99353665718809 1.0
100.8198559954762 1.0
# in_botnet[3] #53
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.2448991732672 1.0
# in_botnet[3] #54
0.0 0.0
27.39866752433591 0.0
27.39866752433591 0.0
27.39866752433591 1.0
100.2359249553518 1.0
# in_botnet[3] #55
0.0 0.0
33.70432596762556 0.0
33.70432596762556 0.0
33.70432596762556 1.0
100.1460845078517 1.0
# in_botnet[3] #56
0.0 0.0
36.0 0.0
36.0 0.0
36.0 1.0
100.0470981684048 1.0
# in_botnet[3] #57
0.0 0.0
29.56767588992338 0.0
29.56767588992338 0.0
29.56767588992338 1.0
100.4551800596246 1.0
# in_botnet[3] #58
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.2318389741488 1.0
# in_botnet[3] #59
0.0 0.0
35.78888398655596 0.0
35.78888398655596 0.0
35.78888398655596 1.0
100.5863686301745 1.0
# in_botnet[3] #60
0.0 0.0
20.21339589240961 0.0
20.21339589240961 0.0
20.21339589240961 1.0
100.2133958924096 1.0
# in_botnet[3] #61
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.6288465086836 1.0
# in_botnet[3] #62
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4851347550284 1.0
# in_botnet[3] #63
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.11730733281 1.0
# in_botnet[3] #64
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1313843637948 1.0
# in_botnet[3] #65
0.0 0.0
30.15342942834832 0.0
30.15342942834832 0.0
30.15342942834832 1.0
101.0 1.0
# in_botnet[3] #66
0.0 0.0
20.03250831109472 0.0
20.03250831109472 0.0
20.03250831109472 1.0
100.0000000000001 1.0
# in_botnet[3] #67
0.0 0.0
29.0 0.0
29.0 0.0
29.0 1.0
100.322670370806 1.0
# in_botnet[3] #68
0.0 0.0
26.27207043999806 0.0
26.27207043999806 0.0
26.27207043999806 1.0
100.1569616310298 1.0
# in_botnet[3] #69
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.0000000000002 1.0
# in_botnet[3] #70
0.0 0.0
32.0 0.0
32.0 0.0
32.0 1.0
100.0000000000001 1.0
# in_botnet[3] #71
0.0 0.0
22.0 0.0
22.0 0.0
22.0 1.0
100.0793718362693 1.0
# in_botnet[3] #72
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.3353015037656 1.0
# in_botnet[3] #73
0.0 0.0
33.36240959190764 0.0
33.36240959190764 0.0
33.36240959190764 1.0
100.0124596122187 1.0
# in_botnet[3] #74
0.0 0.0
29.47576050446449 0.0
29.47576050446449 0.0
29.47576050446449 1.0
100.0991418139086 1.0
# in_botnet[3] #75
0.0 0.0
35.29517046382865 0.0
35.29517046382865 0.0
35.29517046382865 1.0
100.2548095222003 1.0
# in_botnet[3] #76
0.0 0.0
22.0 0.0
22.0 0.0
22.0 1.0
100.4538449192142 1.0
# in_botnet[3] #77
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.0381664985325 1.0
# in_botnet[3] #78
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0000000000001 1.0
# in_botnet[3] #79
0.0 0.0
29.04372689532254 0.0
29.04372689532254 0.0
29.04372689532254 1.0
100.0437268953225 1.0
# in_botnet[3] #80
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.867274869662 1.0
# in_botnet[3] #81
0.0 0.0
32.0 0.0
32.0 0.0
32.0 1.0
100.2778071351363 1.0
# in_botnet[3] #82
0.0 0.0
29.0 0.0
29.0 0.0
29.0 1.0
100.079998687841 1.0
# in_botnet[3] #83
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.203115100041 1.0
# in_botnet[3] #84
0.0 0.0
31.0 0.0
31.0 0.0
31.0 1.0
100.0912487050518 1.0
# in_botnet[3] #85
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.3114234844688 1.0
# in_botnet[3] #86
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4399701319635 1.0
# in_botnet[3] #87
0.0 0.0
22.0 0.0
22.0 0.0
22.0 1.0
100.0089184956037 1.0
# in_botnet[3] #88
0.0 0.0
29.0 0.0
29.0 0.0
29.0 1.0
100.8194151867647 1.0
# in_botnet[3] #89
0.0 0.0
36.26592873269692 0.0
36.26592873269692 0.0
36.26592873269692 1.0
100.0337363954168 1.0
# in_botnet[3] #90
0.0 0.0
27.57727642566897 0.0
27.57727642566897 0.0
27.57727642566897 1.0
100.1569732648786 1.0
# in_botnet[3] #91
0.0 0.0
20.42871288838796 0.0
20.42871288838796 0.0
20.42871288838796 1.0
100.428712888388 1.0
# in_botnet[3] #92
0.0 0.0
20.74410940334201 0.0
20.74410940334201 0.0
20.74410940334201 1.0
100.5604654231574 1.0
# in_botnet[3] #93
0.0 0.0
26.93698473763652 0.0
26.93698473763652 0.0
26.93698473763652 1.0
100.0000000000002 1.0
# in_botnet[3] #94
0.0 0.0
33.0 0.0
33.0 0.0
33.0 1.0
100.0108187312727 1.0
# in_botnet[3] #95
0.0 0.0
23.54803851223551 0.0
23.54803851223551 0.0
23.57021194470552 1.0
23.57021194470552 1.0
100.0000000000001 1.0
# in_botnet[3] #96
0.0 0.0
27.62496670242399 0.0
27.62496670242399 0.0
27.62496670242399 1.0
100.3919013093691 1.0
# in_botnet[3] #97
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.2249609748835 1.0
# in_botnet[3] #98
0.0 0.0
20.4287273271475 0.0
20.4287273271475 0.0
20.4287273271475 1.0
100.4369154737413 1.0
# in_botnet[3] #99
0.0 0.0
26.09158915583976 0.0
26.09158915583976 0.0
26.09158915583976 1.0
100.0915891558398 1.0
# in_botnet[3] #100
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0619871049447 1.0
