# total_scans #1
41.15775616839519 28.0
41.15775616839519 28.0
42.0 28.0
42.0 29.0
43.15775616839519 29.0
43.15775616839519 30.0
43.40514202741906 30.0
43.40514202741906 31.0
44.10124130772834 31.0
44.10124130772834 31.0
# total_scans #6
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.09449633629993 2.0
15.09449633629993 3.0
21.0 3.0
21.0 4.0
22.09449633629993 4.0
22.09449633629993 5.0
22.81542356210952 5.0
22.81542356210952 6.0
25.09449633629993 6.0
25.09449633629993 7.0
28.0 7.0
28.0 8.0
28.09449633629993 8.0
28.09449633629993 9.0
28.81542356210952 9.0
28.81542356210952 10.0
29.16679045860656 10.0
29.16679045860656 11.0
31.0 11.0
31.0 12.0
31.09449633629993 12.0
31.09449633629993 13.0
32.16679045860656 13.0
32.16679045860656 14.0
33.81542356210952 14.0
33.81542356210952 14.0
# total_scans #7
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.56519209826365 2.0
15.56519209826365 3.0
21.0 3.0
21.0 4.0
22.56519209826365 4.0
22.56519209826365 5.0
22.60654654968059 5.0
22.60654654968059 6.0
25.56519209826365 6.0
25.56519209826365 7.0
28.0 7.0
28.0 8.0
28.56519209826365 8.0
28.56519209826365 9.0
28.60654654968059 9.0
28.60654654968059 10.0
29.51749216974713 10.0
29.51749216974713 11.0
31.0 11.0
31.0 12.0
31.56519209826365 12.0
31.56519209826365 13.0
31.60654654968059 13.0
31.60654654968059 14.0
32.51749216974713 14.0
32.51749216974713 15.0
34.0 15.0
34.0 16.0
34.56519209826365 16.0
34.56519209826365 17.0
34.60654654968059 17.0
34.60654654968059 18.0
35.51749216974713 18.0
35.51749216974713 19.0
37.0 19.0
37.0 20.0
37.56519209826365 20.0
37.56519209826365 21.0
37.60654654968059 21.0
37.60654654968059 22.0
38.51749216974713 22.0
38.51749216974713 23.0
40.0 23.0
40.0 24.0
40.56519209826365 24.0
40.56519209826365 25.0
40.60654654968059 25.0
40.60654654968059 26.0
41.51749216974713 26.0
41.51749216974713 27.0
43.0 27.0
43.0 28.0
43.56519209826365 28.0
43.56519209826365 29.0
43.60654654968059 29.0
43.60654654968059 30.0
44.51749216974713 30.0
44.51749216974713 31.0
46.0 31.0
46.0 32.0
46.56519209826365 32.0
46.56519209826365 33.0
46.60654654968059 33.0
46.60654654968059 34.0
47.51749216974713 34.0
47.51749216974713 35.0
49.0 35.0
49.0 36.0
49.56519209826365 36.0
49.56519209826365 37.0
51.60654654968059 37.0
51.60654654968059 37.0
# total_scans #8
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.19713230454363 2.0
15.19713230454363 3.0
21.0 3.0
21.0 4.0
22.1337240904104 4.0
22.1337240904104 5.0
22.19713230454363 5.0
22.19713230454363 6.0
23.54644793714397 6.0
23.54644793714397 7.0
24.0 7.0
24.0 8.0
25.1337240904104 8.0
25.1337240904104 9.0
26.54644793714397 9.0
26.54644793714397 10.0
27.0 10.0
27.0 11.0
29.19713230454363 11.0
29.19713230454363 12.0
29.54644793714397 12.0
29.54644793714397 13.0
30.0 13.0
30.0 14.0
30.1337240904104 14.0
30.1337240904104 14.0
# total_scans #9
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.96762339770794 2.0
15.96762339770794 3.0
17.0 3.0
17.0 4.0
22.96762339770794 4.0
22.96762339770794 5.0
24.0 5.0
24.0 6.0
24.28237363920653 6.0
24.28237363920653 7.0
25.96762339770794 7.0
25.96762339770794 8.0
28.96762339770794 8.0
28.96762339770794 9.0
31.0 9.0
31.0 10.0
31.28237363920653 10.0
31.28237363920653 11.0
32.73490139353089 11.0
32.73490139353089 12.0
33.96762339770794 12.0
33.96762339770794 12.0
# total_scans #10
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.04065966792405 2.0
15.04065966792405 3.0
21.0 3.0
21.0 4.0
22.04065966792405 4.0
22.04065966792405 5.0
22.98505358673316 5.0
23.0 6.0
23.0 6.0
25.04065966792405 6.0
25.04065966792405 7.0
27.98505358673316 7.0
27.98505358673316 7.0
# total_scans #11
0.0 0.0
7.0 0.0
7.0 1.0
14.0 1.0
14.0 2.0
15.69999616662972 2.0
15.69999616662972 3.0
21.0 3.0
21.0 4.0
21.69999616662972 4.0
21.69999616662972 5.0
22.53880700701848 5.0
22.53880700701848 6.0
25.53880700701848 6.0
25.53880700701848 7.0
28.0 7.0
28.0 8.0
28.53880700701848 8.0
28.53880700701848 9.0
28.69999616662972 9.0
28.69999616662972 10.0
29.55662321858108 10.0
29.55662321858108 11.0
31.0 11.0
31.0 12.0
31.69999616662972 12.0
31.69999616662972 13.0
