# total_messages #1
0.0 0.0
7.0 0.0
7.0 2.0
8.0 2.0
8.0 4.0
8.0 4.0
9.0 4.0
9.0 6.0
9.0 6.0
10.0 6.0
10.0 8.0
10.0 8.0
11.0 8.0
11.0 10.0
11.0 10.0
12.0 10.0
12.0 12.0
12.0 12.0
14.0 12.0
14.0 14.0
15.0 14.0
15.0 16.0
15.0 16.0
15.74575645220466 16.0
15.74575645220466 18.0
16.74575645220466 18.0
16.74575645220466 20.0
16.74575645220466 20.0
17.0 20.0
17.0 22.0
17.74575645220466 22.0
17.74575645220466 24.0
17.74575645220466 24.0
18.0 24.0
18.0 26.0
18.0 26.0
18.74575645220466 26.0
18.74575645220466 28.0
18.74575645220466 28.0
19.74575645220466 28.0
19.74575645220466 30.0
19.74575645220466 30.0
20.0 30.0
20.0 32.0
20.74575645220466 32.0
20.74575645220466 34.0
20.74575645220466 34.0
21.0 34.0
21.0 36.0
21.0 36.0
22.0 36.0
22.0 38.0
22.0 38.0
22.74575645220466 38.0
22.74575645220466 40.0
23.0 40.0
23.0 42.0
23.0 42.0
23.74575645220466 42.0
23.74575645220466 44.0
23.74575645220466 44.0
24.0 44.0
24.0 46.0
24.0 46.0
24.72233675112666 46.0
24.74575645220466 50.0
24.74575645220466 50.0
25.0 50.0
25.0 52.0
25.0 52.0
25.72233675112666 52.0
25.74575645220466 56.0
25.74575645220466 56.0
26.74575645220466 56.0
26.74575645220466 58.0
26.74575645220466 58.0
27.0 58.0
27.0 60.0
27.72233675112666 60.0
27.74575645220466 64.0
27.74575645220466 64.0
28.0 64.0
28.0 66.0
28.0 66.0
28.57566761528142 66.0
28.57566761528142 68.0
28.72233675112666 68.0
28.72233675112666 70.0
28.72233675112666 70.0
29.57566761528142 70.0
29.57566761528142 72.0
29.57566761528142 72.0
29.72233675112666 72.0
29.74575645220466 76.0
30.0 76.0
30.0 78.0
30.57566761528142 78.0
30.57566761528142 80.0
30.57566761528142 80.0
30.72233675112666 80.0
30.74575645220466 84.0
30.74575645220466 84.0
31.0 84.0
31.0 86.0
31.0 86.0
31.18918149592355 86.0
31.18918149592355 88.0
31.57566761528142 88.0
31.57566761528142 90.0
31.57566761528142 90.0
31.72233675112666 90.0
31.74575645220466 94.0
31.74575645220466 94.0
32.0 94.0
32.0 96.0
32.0 96.0
32.18918149592355 96.0
32.18918149592355 98.0
32.18918149592355 98.0
32.57566761528142 98.0
32.57566761528142 100.0
32.57566761528142 100.0
32.72233675112665 100.0
32.72233675112665 102.0
32.72233675112665 102.0
# total_messages #2
0.0 0.0
7.0 0.0
7.0 2.0
8.0 2.0
8.0 4.0
8.0 4.0
9.0 4.0
9.0 6.0
9.0 6.0
10.0 6.0
10.0 8.0
10.0 8.0
11.0 8.0
11.0 10.0
11.0 10.0
12.0 10.0
12.0 12.0
12.0 12.0
14.0 12.0
14.0 14.0
15.0 14.0
15.0 16.0
15.0 16.0
15.60393969994038 16.0
15.60393969994038 18.0
16.60393969994038 18.0
16.60393969994038 20.0
16.60393969994038 20.0
17.0 20.0
17.0 22.0
17.60393969994038 22.0
17.60393969994038 24.0
17.60393969994038 24.0
18.0 24.0
18.0 26.0
18.0 26.0
18.60393969994038 26.0
18.60393969994038 28.0
18.60393969994038 28.0
19.0 28.0
19.0 30.0
19.0 30.0
19.60393969994038 30.0
19.60393969994038 32.0
19.60393969994038 32.0
20.0 32.0
20.0 34.0
20.0 34.0
20.60393969994038 34.0
20.60393969994038 36.0
20.60393969994038 36.0
21.0 36.0
21.0 38.0
21.0 38.0
22.0 38.0
22.0 40.0
22.0 40.0
22.60393969994038 40.0
