# in_botnet[1] #1
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.9107226943597 1.0
# in_botnet[1] #2
0.0 0.0
29.78411483194166 0.0
29.78411483194166 0.0
29.78411483194166 1.0
100.1209510740805 1.0
# in_botnet[1] #3
0.0 0.0
20.23096710839309 0.0
20.23096710839309 0.0
20.23096710839309 1.0
100.2309671083931 1.0
# in_botnet[1] #4
0.0 0.0
30.43953666125291 0.0
30.43953666125291 0.0
30.43953666125291 1.0
100.7358091613278 1.0
# in_botnet[1] #5
0.0 0.0
29.62416161503643 0.0
29.62416161503643 0.0
29.62416161503643 1.0
100.6241616150363 1.0
# in_botnet[1] #6
0.0 0.0
30.39557937636151 0.0
30.39557937636151 0.0
30.39557937636151 1.0
100.2996934754562 1.0
# in_botnet[1] #7
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0000000000002 1.0
# in_botnet[1] #8
0.0 0.0
20.03416205057874 0.0
20.03416205057874 0.0
20.03416205057874 1.0
100.0341620505787 1.0
# in_botnet[1] #9
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.7908417892177 1.0
# in_botnet[1] #10
0.0 0.0
34.20565862418152 0.0
34.20565862418152 0.0
34.20565862418152 1.0
100.1076724773546 1.0
# in_botnet[1] #11
0.0 0.0
26.45344045734964 0.0
26.45344045734964 0.0
26.45344045734964 1.0
100.4534404573496 1.0
# in_botnet[1] #12
0.0 0.0
39.01381330075674 0.0
39.01381330075674 0.0
39.01381330075674 1.0
100.0000000000002 1.0
# in_botnet[1] #13
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.4984040246609 1.0
# in_botnet[1] #14
0.0 0.0
20.53201590827666 0.0
20.53201590827666 0.0
20.53201590827666 1.0
100.4309565429645 1.0
# in_botnet[1] #15
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.5638096313924 1.0
# in_botnet[1] #16
0.0 0.0
20.48584916605614 0.0
20.48584916605614 0.0
20.48584916605614 1.0
100.4858491660561 1.0
# in_botnet[1] #17
0.0 0.0
20.18639303534292 0.0
20.18639303534292 0.0
20.18639303534292 1.0
100.1863930353427 1.0
# in_botnet[1] #18
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.8620004467666 1.0
# in_botnet[1] #19
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4290781945456 1.0
# in_botnet[1] #20
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.4462196463719 1.0
# in_botnet[1] #21
0.0 0.0
26.65440103155561 0.0
26.65440103155561 0.0
26.65440103155561 1.0
100.1544831155334 1.0
# in_botnet[1] #22
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.5114942707439 1.0
# in_botnet[1] #23
0.0 0.0
22.0 0.0
22.0 0.0
22.0 1.0
100.3055260114907 1.0
# in_botnet[1] #24
0.0 0.0
