# total_attempts #1
0.0 0.0
8.0 0.0
8.0 1.0
8.0 1.0
9.0 1.0
9.0 2.0
9.0 2.0
10.0 2.0
10.0 3.0
10.0 3.0
11.0 3.0
11.0 4.0
11.0 4.0
12.0 4.0
12.0 5.0
12.0 5.0
15.0 5.0
15.0 6.0
15.0 6.0
16.74575645220466 6.0
16.74575645220466 7.0
16.74575645220466 7.0
17.74575645220466 7.0
17.74575645220466 8.0
17.74575645220466 8.0
18.0 8.0
18.0 9.0
18.0 9.0
18.74575645220466 9.0
18.74575645220466 10.0
18.74575645220466 10.0
19.74575645220466 10.0
19.74575645220466 11.0
19.74575645220466 11.0
20.74575645220466 11.0
20.74575645220466 12.0
20.74575645220466 12.0
21.0 12.0
21.0 13.0
21.0 13.0
22.0 13.0
22.0 14.0
22.0 14.0
23.0 14.0
23.0 15.0
23.0 15.0
23.74575645220466 15.0
23.74575645220466 16.0
23.74575645220466 16.0
24.0 16.0
24.0 17.0
24.0 17.0
24.74575645220466 17.0
24.74575645220466 18.0
24.74575645220466 18.0
25.0 18.0
25.0 19.0
25.0 19.0
25.72233675112666 19.0
25.74575645220466 21.0
25.74575645220466 21.0
26.74575645220466 21.0
26.74575645220466 22.0
26.74575645220466 22.0
27.74575645220466 22.0
27.74575645220466 23.0
27.74575645220466 23.0
28.0 23.0
28.0 24.0
28.0 24.0
28.72233675112666 24.0
28.72233675112666 25.0
28.72233675112666 25.0
29.57566761528142 25.0
29.57566761528142 26.0
29.57566761528142 26.0
29.72233675112666 26.0
29.74575645220466 27.0
29.74575645220466 27.0
30.57566761528142 27.0
30.57566761528142 28.0
30.57566761528142 28.0
30.72233675112666 28.0
30.74575645220466 30.0
30.74575645220466 30.0
31.0 30.0
31.0 31.0
31.0 31.0
31.57566761528142 31.0
31.57566761528142 32.0
31.57566761528142 32.0
31.72233675112666 32.0
31.74575645220466 34.0
31.74575645220466 34.0
32.0 34.0
32.0 35.0
32.0 35.0
32.18918149592355 35.0
32.18918149592355 36.0
32.18918149592355 36.0
32.57566761528142 36.0
32.57566761528142 37.0
32.57566761528142 37.0
32.72233675112665 37.0
32.72233675112665 38.0
32.72233675112665 38.0
# total_attempts #2
0.0 0.0
8.0 0.0
8.0 1.0
8.0 1.0
9.0 1.0
9.0 2.0
9.0 2.0
10.0 2.0
10.0 3.0
10.0 3.0
11.0 3.0
11.0 4.0
11.0 4.0
12.0 4.0
12.0 5.0
12.0 5.0
15.0 5.0
15.0 6.0
15.0 6.0
16.60393969994038 6.0
16.60393969994038 7.0
16.60393969994038 7.0
17.60393969994038 7.0
17.60393969994038 8.0
17.60393969994038 8.0
18.0 8.0
18.0 9.0
18.0 9.0
18.60393969994038 9.0
18.60393969994038 10.0
18.60393969994038 10.0
19.0 10.0
19.0 11.0
19.0 11.0
19.60393969994038 11.0
19.60393969994038 12.0
19.60393969994038 12.0
