# in_botnet[4] #1
0.0 0.0
45.04255564697087 0.0
45.04255564697087 0.0
45.04255564697087 1.0
100.9107226943597 1.0
# in_botnet[4] #2
0.0 0.0
33.59461760683917 0.0
33.59461760683917 0.0
33.59461760683917 1.0
100.1209510740805 1.0
# in_botnet[4] #3
0.0 0.0
27.51733273298706 0.0
27.51733273298706 0.0
27.51733273298706 1.0
100.2309671083931 1.0
# in_botnet[4] #4
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.7358091613278 1.0
# in_botnet[4] #5
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.6241616150363 1.0
# in_botnet[4] #6
0.0 0.0
20.30698573356494 0.0
20.30698573356494 0.0
20.30698573356494 1.0
100.2996934754562 1.0
# in_botnet[4] #7
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.0000000000002 1.0
# in_botnet[4] #8
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.0341620505787 1.0
# in_botnet[4] #9
0.0 0.0
42.5328423131723 0.0
42.5328423131723 0.0
42.5328423131723 1.0
100.7908417892177 1.0
# in_botnet[4] #10
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1076724773546 1.0
# in_botnet[4] #11
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.4534404573496 1.0
# in_botnet[4] #12
0.0 0.0
22.0 0.0
22.0 0.0
22.0 1.0
100.0000000000002 1.0
# in_botnet[4] #13
0.0 0.0
20.57452411041595 0.0
20.57452411041595 0.0
20.57452411041595 1.0
100.4984040246609 1.0
# in_botnet[4] #14
0.0 0.0
27.72745784270856 0.0
27.72745784270856 0.0
27.72745784270856 1.0
100.4309565429645 1.0
# in_botnet[4] #15
0.0 0.0
33.33811066299677 0.0
33.33811066299677 0.0
33.33811066299677 1.0
100.5638096313924 1.0
# in_botnet[4] #16
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.4858491660561 1.0
# in_botnet[4] #17
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1863930353427 1.0
# in_botnet[4] #18
0.0 0.0
27.63172502839006 0.0
27.63172502839006 0.0
27.63172502839006 1.0
100.8620004467666 1.0
# in_botnet[4] #19
0.0 0.0
26.0 0.0
26.0 0.0
26.0 1.0
100.4290781945456 1.0
# in_botnet[4] #20
0.0 0.0
19.0 0.0
19.0 0.0
19.0 1.0
100.4462196463719 1.0
# in_botnet[4] #21
0.0 0.0
12.0 0.0
12.0 0.0
12.0 1.0
100.1544831155334 1.0
# in_botnet[4] #22
0.0 0.0
30.81779975956306 0.0
30.81779975956306 0.0
30.81779975956306 1.0
100.5114942707439 1.0
