# time,2 * ((attempt_loops + scan_loops) * LIMIT + total_attempts + total_scans)
0,0
0,0
1,4
1,4
2,6
2,6
3,8
3,8
4,10
4,10
5,12
5,12
6,14
6,14
7,16
7,16
8,18
8,18
9,20
9,20
10,22
10,22
11,26
11,26
12,28
12,28
13,30
13,30
14,32
14,32
15,34
15,34
16,36
16,36
17,38
17,38
18,40
18,40
19,42
19,42
20,44
20,44
22,44
23.28201485844329,50
23.28201485844329,50
24.28201485844329,56
25.28201485844329,60
26.28201485844329,64
27,66
27,66
28,68
28,68
29,70
29,70
30,72
31,74
31,74
33,74
33,74
34,80
34,80
35,82
35,82
36,84
36,84
37,86
37,86
38,88
38,88
39,90
39,90
40,92
40,92
41,94
41,94
42,96
42,96
44,96
44,96
45,102
45,102
46,104
46,104
47,106
47,106
48,108
48,108
49,110
49,110
50,112
50,112
51,114
51,114
52,116
52,116
53,118
53,118
55,118
55,118
56,124
56,124
57,126
57,126
58,128
58,128
59,130
59,130
60,132
60,132
61,134
61,134
62,136
62,136
63,138
63,138
64,140
64,140
66,140
66,140
67,146
67,146
68,148
68,148
69,150
69,150
70,152
70,152
71,154
71,154
72,156
72,156
73,158
73,158
74,160
74,160
75,162
75,162
77,162
77,162
78,168
78,168
79,170
79,170
80,172
80,172
81,174
81,174
82,176
82,176
83,178
83,178
84,180
84,180
85,182
85,182
86,184
86,184
88,184
88,184
89,190
89,190
90,192
90,192
91,196
91,196
92,198
92,198
93,200
93,200
94,202
94,202
95,204
95,204
96,206
96,206
97,208
97,208
98,210
98,210
99,212
99,212
100,214
100,214
101.5446500098333,214
103,226
103,226
104,230
104,230
105,234
105,234
106,238
106,238
107,242
107,242
108,246
108,246
109,250
109,250
110,252
110,252
111,254
111,254
113,254
113,254
114,260
114,260
115,262
115,262
116,264
116,264
117,266
117,266
118,268
118,268
119,270
120,272
120,272
121,274
121,274
122,276
122,276
124,276
124,276
125,282
125,282
126,284
126,284
127,286
127,286
128,288
128,288
129,290
129,290
130,292
130,292
131,294
131,294
132,296
132,296
133,298
133,298
135,298
135,298
136,304
136,304
137,306
137,306
138,308
138,308
139,310
139,310
140,312
140,312
141,314
141,314
142,316
142,316
143,318
143,318
144,320
144,320
146,320
146,320
147,326
147,326
148,328
148,328
149,330
149,330
150,332
150,332
151,334
151,334
152,336
152,336
153,338
153,338
154,340
154,340
155,342
155,342
157,342
157,342
158,348
158,348
159,350
159,350
160,352
160,352
161,354
161,354
162,356
162,356
163,358
163,358
164,360
164,360
165,362
165,362
166,364
166,364
168,364
168,364
169,370
169,370
170,372
170,372
171,374
171,374
172,376
172,376
173,378
173,378
174,380
174,380
175,382
175,382
176,384
176,384
177,386
